Countries and regions,Doses administered,Enough for % of people,Percentage of population with 1+ dose,Percentage of population fully vaccinated,Daily rate of doses administered
India,730337116,26.7,40.3,12.4,7616167
EU,546967065,61.6,66,61.5,1394444
U.S.,378569717,59.2,62.9,53.6,721844
Brazil,205866758,50,66.9,33.2,1225902
Japan,141432726,56,62.1,50,1196360
Indonesia,111570821,20.9,26.3,15.1,1301072
Germany,103814560,62.5,66.4,61.9,196672
Turkey,101081488,60.8,61.6,48.1,661160
U.K.,92175948,69,72.4,65.6,123029
France,90583383,69.9,76.1,71.3,250680
Mexico,89500945,35.1,46.7,28.9,522165
Russia,85108008,29,30.7,26.7,349134
Italy,80413885,66.6,72.2,65.6,255070
Spain,68205694,73.4,79.9,75.4,202482
Pakistan,66456245,16.2,24.5,10.4,1010213
Canada,54228989,72.3,74.7,68.7,84646
South Korea,51555985,49.9,62.2,37.5,732527
Argentina,46402282,51.6,63.7,39.5,386567
Saudi Arabia,39119246,57.4,66.6,48.2,205841
Thailand,38873359,27.9,37.8,16.2,654403
Malaysia,38001646,58.3,64.7,51.2,308649
Philippines,37728114,17.6,20.5,15,454876
Colombia,36657856,36.4,48.4,29.9,157134
Poland,36643392,48.2,51.3,50.1,35988
Morocco,36003650,50.6,55.5,45.7,237764
Bangladesh,32751434,9.8,12.1,7.6,987566
Chile,29923619,78.3,75.7,72.6,94600
Iran,29152527,17.5,23.4,11.6,419055
Vietnam,23577917,12.2,20.5,3.9,551276
Sri Lanka,23476342,53.8,60.2,45.8,295775
Netherlands,23179631,67.3,69.8,62.9,173750
Australia,22170011,43.4,53.2,32.4,262933
Peru,20662297,31.2,35.5,26.3,228331
Cambodia,20312411,61.6,68.9,55.6,128008
Ecuador,20170825,58.4,63.1,54.9,66667
UAE,18801148,87.5,82.4,72.1,65989
Belgium,16352789,71.4,74,71.9,16525
Uzbekistan,15978140,24,29.4,8.7,182161
Cuba,15526511,68.5,55.6,36.8,171134
Portugal,15234083,74.1,85.6,78.2,58536
Ukraine,15026398,18,24.9,11.1,214774
South Africa,14367151,14,17.6,11.7,143260
Israel,14364617,79.4,66.7,61.2,44868
Sweden,13138198,63.6,67.8,59.4,45842
Kazakhstan,12844958,34.5,37.4,31.1,76643
Taiwan,11961678,25.3,46.4,4.3,136777
Hungary,11690702,59.8,59.7,56.7,56903
Greece,11635474,54.2,58,54.3,19962
Czech Republic,11608871,54.5,56.3,54.7,13506
Dominican Republic,11414350,55.1,56.9,52,26741
Nepal,10832033,19,20.1,17.9,104024
Egypt,10769834,5.4,7.1,3.7,160213
Austria,10592343,59.8,63,59.6,15138
Romania,9850304,25.4,27.3,26.7,6910
Switzerland,9834906,57.5,59.9,52.9,23530
Venezuela,9342817,16.8,21.6,12,518303
Singapore,8976698,78.7,81.1,79.1,13703
Denmark,8711585,75,76.3,73.8,9376
Hong Kong,8061852,53.6,57.4,49.8,45752
Algeria,8000000,9.2,11.5,6.9,132893
Azerbaijan,7430450,37.2,44.5,29.9,60074
Norway,7388015,69,73.9,64,35100
Finland,7153363,64.8,73.8,55.9,31772
Ireland,6988411,70.6,75.3,70.6,16711
El Salvador,6827005,52.9,58.7,47,50965
Jordan,6621480,32.9,35.3,30.4,23370
Tunisia,6292293,26.7,37.5,21.7,80406
Myanmar,6253687,5.9,8.4,3.4,152983
Bolivia,6243449,27,35.6,25.3,26542
Serbia,6089871,43.7,42.5,40.7,18935
Uruguay,5903643,83.9,76.8,72.1,26494
Guatemala,5242013,14.9,20.9,8.9,99679
Nigeria,5176869,1.3,1.8,0.8,82158
Panama,4842615,57.4,67.5,47.2,37977
Slovakia,4665375,42.8,44,40.4,5802
Zimbabwe,4602020,15.4,18.8,12.1,39755
Costa Rica,4580610,45.1,60.5,29.7,43158
Qatar,4576174,81.9,84.1,79.1,10682
Honduras,4526090,23.2,29.6,16.7,64148
Laos,4402770,30.7,35.7,25.7,57802
Mongolia,4356196,66.1,68.1,64,2187
New Zealand,4163418,42.3,56,28.5,68403
Paraguay,4095681,28.6,32,25.3,22742
Oman,4036350,48.1,61.8,34.4,47322
Iraq,3754174,4.8,2.1,1.3,49933
Croatia,3314168,40.7,43,40.3,5646
Lithuania,3253859,58.5,60.8,56.1,8511
Tajikistan,3174535,17.1,22.6,11.6,40720
Belarus,3085256,16.3,17.9,14.7,15235
Kenya,2934285,3.1,4.4,1.7,23201
Lebanon,2716667,19.8,21.8,17.8,146971
Rwanda,2569906,10.4,13.4,7.3,65937
Bahrain,2515690,84.8,77.8,73.8,2605
Bulgaria,2391930,17.2,16.8,17.6,7871
Kuwait,2380000,25.1,56.2,19.4,12990
Mozambique,2297842,3.7,5.3,2.1,84381
Angola,2086325,3.5,3.9,3.1,108196
Afghanistan,1979652,2.7,2.1,1.2,389183
Slovenia,1954708,48.3,49.4,45.2,5749
Senegal,1744098,5.3,7.2,3.5,1467
Mauritius,1591414,62.8,65.4,60.2,3305
Albania,1579402,27.5,30.9,24.2,11358
Latvia,1546820,40.3,45.6,40.8,3905
Uganda,1476526,1.9,2.6,0.6,18226
Ivory Coast,1459525,2.8,5.6,0.9,11809
Georgia,1366678,18.3,23,13.7,22933
Moldova,1327627,24.8,22.4,27.1,4379
North Macedonia,1326584,31.9,35.5,28.4,8788
Estonia,1302185,49.1,55.6,43.6,3281
Guinea,1286157,4.7,6.5,2.9,11071
Libya,1274076,9.7,17.7,1.7,19568
Ghana,1271393,2.1,2.9,1.3,761
Kyrgyzstan,1249067,9.8,11.4,8,11418
Sudan,1129054,1.3,1.5,0.6,21384
Cyprus,1117393,63.8,66.7,60.9,2337
Bosnia and Herzegovina,1060145,16.1,19.2,12.9,7334
Bhutan,1045074,70.1,76.1,64.2,1373
Kosovo,975279,27.1,35.4,18.8,15920
Malawi,969645,2.4,3.5,2.1,5176
Trinidad and Tobago,962287,34.5,38.5,30.5,6374
Fiji,866153,48.4,63.3,33.5,17771
Malta,803975,81.4,84.3,84.1,844
Luxembourg,771470,62.8,66.9,58.6,869
Maldives,694902,93.4,104,82.8,1376
Nicaragua,669904,5.1,7.1,3.2,2686
Togo,651941,4,5.1,2.9,6848
Zambia,649919,1.8,1.9,1.6,21557
Macau,609281,44.8,48.5,41.4,1536
Jamaica,606286,11.1,17.1,5.6,7262
Timor-Leste,588299,22.7,30.2,15.3,5253
Botswana,573691,12.1,16,9.2,5711
Mauritania,565434,7,7,0.5,44468
Iceland,535408,75,78.6,74.5,760
Guyana,495220,31.5,41.4,21.7,2831
Niger,491738,1.1,1.7,0.4,170
Cameroon,435676,0.9,1.4,0.3,1484
Montenegro,412814,33.1,35.1,31.2,1324
Equatorial Guinea,364051,13.4,15.1,11.6,1138
Suriname,361815,30.3,35.2,25.4,2721
Brunei,353428,38.4,51.1,25.8,4142
Namibia,352962,7.2,9.1,5.3,2988
Gambia,351281,7.5,8.4,6.7,2990
Mali,344151,0.9,1.3,0.5,5418
Yemen,311483,0.5,0.9,0.1,880
Somalia,310005,1,1.4,0.7,2980
Republic of the Congo,309575,3.4,4.4,2.4,1286
Cape Verde,309001,28.1,42.9,13.2,6263
Armenia,303325,5.1,6.6,3.6,3523
Madagascar,283091,0.5,0.8,0.3,1230
Comoros,277419,15.9,20,11.7,3826
Belize,251317,30.8,42.6,19,2125
Barbados,213075,37.1,40.9,33.4,1285
Eswatini,208541,9.4,16.1,15.4,973
Sierra Leone,193557,1.2,2,0.4,1051
Curaçao,184056,56.5,59.3,53.6,224
Bahamas,161613,21.2,27.8,15.5,2479
Aruba,150216,67.1,70.9,63.2,193
Gabon,146464,3.5,4,3,1424
Seychelles,143490,74.7,77.4,72.6,158
Samoa,137958,34.3,47,21.7,1759
Papua New Guinea,134444,0.8,1.2,0.4,1337
Isle of Man,128601,75.6,76.9,74.4,109
Liberia,113680,1.2,2.5,0.6,1365
Central African Republic,112492,1.2,2.2,0.6,327
DR Congo,111142,0.1,0.1,0.1,2665
Burkina Faso,108799,0.3,0.5,0.1,5065
Cayman Islands,102399,78.8,80.7,76.9,196
Greenland,102357,89.8,124.5,58.7,300
Andorra,93430,60.7,67,54.3,98
Bermuda,85415,67.8,68.5,67.1,95
Solomon Islands,83441,6.5,9.8,3.2,1973
Gibraltar,79027,116.2,116.9,115.5,20
Antigua and Barbuda,77997,40.2,44.3,36.1,366
Chad,76242,0.2,0.4,0.1,2225
Faroe Islands,72591,74.1,76.1,72.1,153
St. Lucia,66089,18.4,21.2,15.6,261
Djibouti,64721,3,3.6,2.4,573
South Sudan,59865,0.2,0.4,0.1,543
Sao Tome and Principe,50886,11.9,18.3,5.6,907
Turks & Caicos,50875,66.9,70,63.9,84
Monaco,48691,62.4,67,57.8,270
Sint Maarten,48514,57.8,60.4,55.1,67
San Marino,46573,68.5,70.5,70.6,2
Saint Kitts and Nevis,46372,40.7,42.9,38.4,41
Haiti,46201,0.2,0.3,0.1,1479
Grenada,45460,20.9,23.9,17.8,425
Dominica,42837,30.2,31.8,28.6,103
Guinea-Bissau,31090,0.9,1.6,0.2,44
St. Vincent and the Grenadines,30958,14.1,17.3,10.8,305
Anguilla,18471,61.6,63.3,59.9,1
St. Helena,7892,65.8,72.7,58.9,8
Falkland Islands,4407,73.5,87.7,59.2,202
